File di Test,Funzione di Test,Helper Esterni Utilizzati,Stato Revisione,Note
integration/access_key/test_access_key_api.py,TestAccessKeyAPI.test_01_get_access_key_unauthenticated(),Nessuno,,
integration/access_key/test_access_key_api.py,TestAccessKeyAPI.test_02_get_existing_access_key(),Nessuno,,
integration/access_key/test_access_key_api.py,TestAccessKeyAPI.test_03_regenerate_access_key(),Nessuno,,
integration/access_key/test_access_key_api.py,TestAccessKeyAPI.test_04_create_access_key_without_expiration(),Nessuno,,
integration/access_key/test_access_key_api.py,TestAccessKeyAPI.test_06_validate_expired_access_key(),helpers/auth.py -> make_basic_auth(),,
integration/access_key/test_access_key_validation.py,TestAccessKeyValidationAPI.test_01_missing_credentials(),Nessuno,,
integration/access_key/test_access_key_validation.py,TestAccessKeyValidationAPI.test_02_invalid_email(),helpers/auth.py -> make_basic_auth(),,
integration/access_key/test_access_key_validation.py,TestAccessKeyValidationAPI.test_03_invalid_access_key(),helpers/auth.py -> make_basic_auth(),,
integration/access_key/test_access_key_validation.py,TestAccessKeyValidationAPI.test_04_valid_access_key(),helpers/auth.py -> make_basic_auth(),,
integration/access_key/test_access_key_validation.py,TestAccessKeyValidationAPI.test_05_validate_access_key_without_expiration(),helpers/auth.py -> make_basic_auth(),,
integration/arco/test_arco_catalog.py,test_arco_catalog_returns_dataset_metadata,helpers/auth.py -> make_basic_auth(),,
integration/arco/test_arco_proxy.py,test_arco_proxy_requires_authentication,Nessuno,,
integration/arco/test_arco_proxy.py,test_arco_proxy_returns_zgroup_for_authorized_user,helpers/auth.py -> make_basic_auth(),,
integration/data/test_data_endpoint_auth.py,test_data_endpoint_requires_authentication,Nessuno,,
integration/data_ready/test_base_cases.py,test_data_ready_non_filesystem_export_returns_one,helpers/data_ready.py -> DATA_READY_DATASETS; helpers/data_ready.py -> DATA_READY_DATASET_NAME; helpers/data_ready.py -> post_data_ready(); helpers/runtime.py -> TestRuntime,,
