File di Test,Funzione di Test,Helper Esterni Utilizzati,Stato Revisione,Note
integration/admin/test_admin_attributions_EXT.py,test_admin_attributions_require_admin_role_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_attributions_EXT.py,test_admin_attribution_create_list_update_delete_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_attributions_EXT.py,test_admin_attribution_list_includes_related_datasets_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_attributions_EXT.py,test_admin_attribution_missing_update_delete_return_404_EXT,Nessuno,,
integration/admin/test_admin_datasets_EXT.py,test_admin_dataset_create_list_update_delete_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_datasets_EXT.py,test_admin_dataset_duplicate_unique_fields_return_conflict_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_datasets_EXT.py,test_admin_dataset_missing_update_delete_return_404_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_license_groups_EXT.py,test_admin_license_group_create_list_update_delete_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_license_groups_EXT.py,test_admin_license_group_list_includes_nested_licenses_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_license_groups_EXT.py,test_admin_license_group_missing_update_delete_return_404_EXT,Nessuno,,
integration/admin/test_admin_licenses_EXT.py,test_admin_license_create_list_update_delete_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_licenses_EXT.py,test_admin_license_list_includes_group_and_datasets_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_licenses_EXT.py,test_admin_license_missing_license_returns_404_EXT,helpers/cleanup.py -> CleanupRegistry,,
integration/admin/test_admin_licenses_EXT.py,test_admin_license_missing_group_returns_404_when_backend_allows_branch_EXT,Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoHelpers_EXT.test_guess_mime_type_returns_known_json_type_EXT(),Nessuno,,
integration/arco/test_arco_edge_cases_EXT.py,TestArcoHelpers_EXT.test_round_coord_handles_numbers_strings_and_none_EXT(),Nessuno,,
